season,year,detector,species,site,date,recording_start,recording_length,detection_time,real_detection_time,real_detection_time,rounded_to_half_hour,duplicate,sunset,civil_dusk,nautical_dusk,astronomical_dusk,astronomical_dawn,nautical_dawn,civil_dawn,sunrise,moon_altitude,moon_illumination
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:05:26,21:11:26,09/02/20 21:11:26,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.4,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:05:27,21:11:27,09/02/20 21:11:27,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.4,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:05:28,21:11:27,09/02/20 21:11:27,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.4,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:05:29,21:11:28,09/02/20 21:11:28,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.4,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:06:00,21:12:00,09/02/20 21:12:00,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.5,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:06:36,21:12:35,09/02/20 21:12:35,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.6,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:06:40,21:12:40,09/02/20 21:12:40,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.6,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:06:44,21:12:43,09/02/20 21:12:43,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.6,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:06:45,21:12:45,09/02/20 21:12:45,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.6,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:06:46,21:12:45,09/02/20 21:12:45,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.6,99.2
